ID_Produto,Descrição,Unidade_de_medida,Fabricante,Fornecedor,Valor_unitário,Estoque_mínimo,Estoque_máximo,Localização,Data_de_validade
1,Tubos de ensaio,unidade,Corning,FornecedorA,2.50,100,500,Prateleira1,2024-12-31
2,Reagente A,litro,Sigma-Aldrich,FornecedorB,150.00,5,20,Geladeira2,2025-06-30
3,Lâminas de microscopia,caixa,Marienfeld,FornecedorA,80.00,20,100,Armário3,2025-03-31
4,Pipetas Pasteur,caixa,Brand,FornecedorC,30.00,50,200,Gaveta4,2024-09-15
5,Luvas de nitrila,caixa,Ansell,FornecedorB,45.00,100,500,Armário5,2025-01-31
6,Água destilada,galão,Local,FornecedorA,15.00,20,100,Galpão1,2024-11-30
7,Kits de PCR,unidade,Thermo Fisher,FornecedorC,200.00,10,30,Congelador1,2025-04-15
8,Micropipetas,unidade,Eppendorf,FornecedorB,500.00,5,10,Bancada1,2025-02-28
9,Ponteiras para micropipeta,caixa,Sarstedt,FornecedorA,25.00,100,500,Gaveta2,2024-12-31
10,Centrifugas,unidade,Eppendorf,FornecedorB,3000.00,2,5,Laboratório2,2025-05-31
